movie_id,title,release_date,genres,overview
1,Toy Story (1995),1/1/1995,Animation|Children's|Comedy,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences."
2,GoldenEye (1995),1/1/1995,Action|Adventure|Thriller,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.
3,Four Rooms (1995),1/1/1995,Thriller,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.
4,Get Shorty (1995),1/1/1995,Action|Comedy|Drama,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different."
5,Copycat (1995),1/1/1995,Crime|Drama|Thriller,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1/1/1995,Drama,
7,Twelve Monkeys (1995),1/1/1995,Drama|Sci-Fi,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease."
8,Babe (1995),1/1/1995,Children's|Comedy|Drama,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be."
9,Dead Man Walking (1995),1/1/1995,Drama,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.
10,Richard III (1995),22/1/1996,Drama|War,Shakespeare's Play transplanted into a 1930s setting.
11,Seven (Se7en) (1995),1/1/1995,Crime|Thriller,
12,"Usual Suspects, The (1995)",14/8/1995,Crime|Thriller,
13,Mighty Aphrodite (1995),30/10/1995,Comedy,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy."
14,"Postino, Il (1994)",1/1/1994,Drama|Romance,
15,Mr. Holland's Opus (1995),29/1/1996,Drama,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose."
16,French Twist (Gazon maudit) (1995),1/1/1995,Comedy|Romance,
17,From Dusk Till Dawn (1996),5/2/1996,Action|Comedy|Crime|Horror|Thriller,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint."
18,"White Balloon, The (1995)",1/1/1995,Drama,
